"CONTRATO","PNCP_PROCESSO","EMPRESA","Processo do pagamento","É ATA?","POSSUI ADITIVO?","TIPO DE ADITIVO","VIGÊNCIA","VALOR DO CONTRATO","VALOR LIQUIDADO","SALDO"
" 1º TA - 001","05055033000152-1-000134/2025","J. G. SERVICOS DE SEGURANCA E MONITORAMENTO LTDA","18407/2025 – SEMEC","Não","Sim","Prazo/Outros","02/01/2026 a 01/01/2027","28717.44","0","28717.44"
" 1º TA - 002","05055033000152-1-000107/2025","COOPERATIVA AGROPECUARIA DE PRODUTORES DE BELEM DO PARA - COPABEL","12238/2025-SEMEC","Não","Sim","Prazo/Outros","08/09/2025 a 02/01/2026","782683.25","0","782683.25"
" 1º TA - 007","05055033000152-1-000081/2025","EVOLUCAO COMERCIO E DISTRIBUIDORA LTDA","10299/2025 - SEMEC","Não","Sim","Prazo/Outros","15/07/2025 a 12/02/2026","1565469","0","1565469"
" 1º TA - 085","05055033000152-1-000093/2025","WALDEMAR FELGUEIRAS VIANNA NETO","11397/2025 - SEMEC","Não","Sim","Valor","01/08/2025 a 31/07/2027","549072.96","0","549072.96"
" 1º TA - 093","05055033000152-1-000110/2025","E A DE JESUS CONSTRUCOES E SERVICOS LTDA","13301/2025 - SEMEC","Não","Sim","Valor","16/09/2025 a 19/11/2026","3755906.19","0","3755906.19"
" 1º TA - 108","05055033000152-1-000108/2025","LIETE DE OLIVEIRA CORREA","10789/2025 - SEMEC","Não","Sim","Prazo/Outros","11/09/2025 a 10/10/2025","7441.19","0","7441.19"
"00011","05055009000113-1-000013/2025",NULL,"123/2025","Sim","Não","-"," a ",NULL,"0",NULL
"001","05055009000113-1-000021/2025","VIDA COMERCIO DE BEBIDAS LTDA","4653/2025 ","Não","Não","-","06/02/2026 a 06/02/2027","36900","0","36900"
"001","05055009000628-1-000001/2025","BANCO DO BRASIL SA","740/2024-GMB","Não","Não","-","24/01/2025 a 24/01/2026","5500","0","5500"
"001","05055033000152-1-000007/2025","PAULO MIGUEL DE PINHO BRAGA","16947-2024-SEMEC","Não","Sim","Valor","03/01/2025 a 03/01/2027","266292.96","0","266292.96"
"001-A","05055009000113-1-000022/2025","RA CONFECCOES E UNIFORMES LTDA","339/2024","Sim","Não","-","20/02/2026 a 18/12/2026","42300","0","42300"
"0010","05055009000113-1-000005/2025","R S SOLUCOES COMERCIO E SERVICOS LTDA","1946/2025","Não","Sim","Valor","28/05/2025 a 28/08/2025","26749.66","0","26749.66"
"0011","05055009000113-1-000006/2025","ELITE TECH SUPRIMENTOS LTDA","2659/2025","Não","Não","-","14/08/2025 a 14/11/2025","30099","0","30099"
"0012","05055009000113-1-000019/2025","FRANCIANE FERREIRA DA SILVA DA PENHA LTDA","3239/2025","Não","Não","-","23/10/2025 a 23/04/2026","24679.2","0","24679.2"
"002","05055009000628-1-000002/2025","AK LASER LTDA","198/2025-GMB","Não","Não","-","26/03/2025 a 26/09/2025","18000","0","18000"
"002","05055033000152-1-000009/2025","MARIA DAS GRACAS FERREIRA BARBOSA DE CAMPOS","18052-2024-SEMEC","Não","Sim","Valor","03/01/2025 a 03/01/2027","118002.72","0","118002.72"
"003","05055009000628-1-000003/2025","J F ALVES COMERCIO ATACADISTA DE PRODUTOS AGRICOLAS","053/2025-GMB","Não","Sim","Valor","03/04/2025 a 29/08/2025","24593","0","24593"
"003","05055033000152-1-000007/2026","VERA ANA FARIAS ARRAIS","13.613/2025 – SEMEC","Não","Não","-","02/02/2026 a 01/02/2028","480000","0","480000"
"003","05055033000152-1-000023/2025","JOAO BARBALHO DE FREITAS NETO","17566-2024-SEMEC","Não","Não","-","03/01/2025 a 03/01/2027","113465.28","0","113465.28"
"003","05055033000152-1-000087/2025","ARTUR PINHEIRO CORREA","17029-2024-SEMEC","Não","Não","-","06/01/2025 a 05/01/2027","384000","0","384000"
"003","05055033000152-1-000114/2025","SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO -SEDCON","3153/2025 – SEDCON","Não","Não","-","23/09/2025 a 31/12/2025","2700","0","2700"
"004","05055009000113-1-000003/2025","MAIS GAS INDUSTRIA DE GASES LTDA","920/2025","Não","Sim","Valor","07/05/2025 a 07/08/2025","2484","0","2484"
"004","05055033000152-1-000006/2026","KAPA CAPITAL FACILITIES LTDA","1509/2026 - SEMEC","Sim","Não","-","02/02/2026 a 02/02/2027","24951194.4","0","24951194.4"
"004","05055033000152-1-000015/2025","MARIA JOSE DE SOUZA CARVALHO","18062-2024-SEMEC","Não","Não","-","03/01/2025 a 03/07/2025","0","0","0"
"004","49159407000155-1-000001/2026","ATENA COMERCIO COMPRA E VENDA LTDA","508","Não","Não","-","26/02/2026 a 01/12/2026","4564.89","0","4564.89"
"005","05055033000152-1-000003/2026","BIGNARDI - INDUSTRIA E COMERCIO DE PAPEIS E ARTEFATOS LTDA.","19074/2025 - SEMEC","Não","Não","-","02/02/2026 a 01/02/2027","1279000","0","1279000"
"005","05055033000152-1-000006/2025","MARIA DE NAZARE DA ROSA PEREIRA","16959-2024","Não","Não","-","06/01/2025 a 06/01/2027","324803.52","0","324803.52"
"005","05055033000152-1-000018/2025","ALINE MORAIS PINTO BRANDAO","17968-2024-SEMEC","Não","Não","-","03/01/2025 a 03/01/2027","138679.2","0","138679.2"
"006","05055033000152-1-000004/2026","ALEA COMERCIAL LTDA","19074/2025 - SEMEC","Não","Não","-","02/02/2026 a 01/02/2027","3981907.02","0","3981907.02"
"006","05055033000152-1-000019/2025","MARIA DA CONCEICAO DOS SANTOS BORGES","17948-2024-SEMEC","Não","Não","-","03/01/2025 a 03/01/2027","176500.8","0","176500.8"
"006","05055033000152-1-000042/2025","MANFRED CHAGAS GRAIN","14737-2024-SEMEC","Não","Não","-","06/02/2025 a 05/02/2027","357777.36","0","357777.36"
"007","05055033000152-1-000008/2026","MARIA DO SOCORRO MEIRELES SILVA","17463/2025 - SEMEC","Não","Não","-","02/02/2026 a 01/02/2028","456000","0","456000"
"007","05055033000152-1-000032/2025","SOCIEDADE BENEFICENTE E COOPERATIVISTA CRISTO REDENTOR","17944-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2027","114599.52","0","114599.52"
"008","05055033000152-1-000036/2025","BRASIL COMERCIO E DISTRIBUIDORA LTDA","3639-2025-SEMEC","Não","Não","-","28/03/2025 a 27/03/2026","2439860.46","0","2439860.46"
